Date,AveragePrice,Total Volume,4046,4225,Total Bags,Small Bags,type,region
2015-12-27,1.33,64236.62,1036.74,54454.85,8696.87,8603.62,conventional,Albany
2015-12-20,1.35,54876.98,674.28,44638.81,9505.56,9408.07,conventional,Albany
2015-12-13,0.93,118220.22,794.7,109149.67,8145.35,8042.21,conventional,Albany
2015-12-06,1.08,78992.15,1132.0,71976.41,5811.16,5677.4,conventional,Albany
2015-11-29,1.28,51039.6,941.48,43838.39,6183.95,5986.26,conventional,Albany
2015-11-22,1.26,55979.78,1184.27,48067.99,6683.91,6556.47,conventional,Albany
2015-11-15,0.99,83453.76,1368.92,73672.72,8318.86,8196.81,conventional,Albany
2015-11-08,0.98,109428.33,703.75,101815.36,6829.22,6266.85,conventional,Albany
2015-11-01,1.02,99811.42,1022.15,87315.57,11388.36,11104.53,conventional,Albany
2015-10-25,1.07,74338.76,842.4,64757.44,8625.92,8061.47,conventional,Albany
2015-10-18,1.12,84843.44,924.86,75595.85,8205.66,7877.86,conventional,Albany
2015-10-11,1.28,64489.17,1582.03,52677.92,10123.9,9866.27,conventional,Albany
2015-10-04,1.31,61007.1,2268.32,49880.67,8756.75,8379.98,conventional,Albany
2015-09-27,0.99,106803.39,1204.88,99409.21,6034.46,5888.87,conventional,Albany
2015-09-20,1.33,69759.01,1028.03,59313.12,9267.36,8489.1,conventional,Albany
2015-09-13,1.28,76111.27,985.73,65696.86,9286.68,8665.19,conventional,Albany
2015-09-06,1.11,99172.96,879.45,90062.62,7990.1,7762.87,conventional,Albany
2015-08-30,1.07,105693.84,689.01,94362.67,10306.73,10218.93,conventional,Albany
2015-08-23,1.34,79992.09,733.16,67933.79,10880.36,10745.79,conventional,Albany
2015-08-16,1.33,80043.78,539.65,68666.01,10443.22,10297.68,conventional,Albany
2015-08-09,1.12,111140.93,584.63,100961.46,9225.89,9116.34,conventional,Albany
2015-08-02,1.45,75133.1,509.94,62035.06,11847.02,11768.52,conventional,Albany
